,fz,purchasenumber,publishdate,startdata,enddata,placingway,customerinn,maxprice,okpdcode,okpdname,purchasobject,href
0,44,0376300000120000321,2020-12-09T12:18:33.674+03:00,"['2020-12-09', '12:18:33+03:00']","['2020-12-17', '07:00:00+03:00']",Электронный аукцион,0105038964,1055343.5,,,,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0376300000120000321
1,44,0176200005520001829,2020-12-10T11:31:47.402+03:00,"['2020-12-10', '11:31:47+03:00']","['2020-12-21', '09:00:00+03:00']",Электронный аукцион,0105072228,87186,10.72,"Изделия сухарные и печенье; мучные кондитерские изделия, торты и пирожные длительного хранения",Поставка сухарей панировочных,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0176200005520001829
2,44,,2020-12-07T09:35:26.295+03:00,,,,,,,,,
3,44,0176200005520001903,2020-12-16T11:20:13.497+03:00,"['2020-12-16', '11:20:13+03:00']","['2020-12-24', '09:00:00+03:00']",Электронный аукцион,0105072228,800000,95.11,Услуги по ремонту компьютеров и периферийного оборудования,Выполнение работ по заправке и восстановлению картриджей,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0176200005520001903
4,44,0176100001820000029,2020-12-04T13:05:28.380+03:00,"['2020-12-04', '13:05:28+03:00']","['2020-12-14', '10:00:00+03:00']",Электронный аукцион,0105020117,345000,32.99,"Изделия готовые прочие, не включенные в другие группировки",,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0176100001820000029
5,44,0176200005520001755,2020-12-07T11:23:51.354+03:00,"['2020-12-07', '11:23:51+03:00']","['2020-12-16', '09:00:00+03:00']",Электронный аукцион,0105072228,590650,81.10,Услуги по комплексному обслуживанию помещений,,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0176200005520001755
6,44,,2020-12-10T09:44:17.323+03:00,,,,,,,,,
7,44,0176200005520001762,2020-12-07T16:24:32.412+03:00,"['2020-12-07', '16:24:32+03:00']","['2020-12-16', '09:00:00+03:00']",Электронный аукцион,0105072228,236216,,,,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0176200005520001762
8,44,0176100004220000024,2020-12-09T08:51:00.324+03:00,"['2020-12-09', '08:51:00+03:00']","['2020-12-17', '09:00:00+03:00']",Электронный аукцион,0105044446,316106,62.02,"Услуги консультативные, связанные с компьютерной техникой",,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0176100004220000024
9,44,0176200005520001951,2020-12-18T14:59:53.336+03:00,"['2020-12-18', '14:59:53+03:00']","['2020-12-28', '09:00:00+03:00']",Электронный аукцион,0105072228,398260,,,,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0176200005520001951
10,44,0376100002720000046,2020-12-09T16:13:34.410+03:00,"['2020-12-09', '16:13:34+03:00']","['2020-12-17', '08:00:00+03:00']",Электронный аукцион,0105014177,4870180,29.10,Средства автотранспортные,,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0376100002720000046
11,44,0176200005520001810,2020-12-09T12:57:45.395+03:00,"['2020-12-09', '12:57:45+03:00']","['2020-12-17', '09:00:00+03:00']",Электронный аукцион,0105072228,761016.38,,,,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0176200005520001810
12,44,0176200005520001774,2020-12-08T11:24:45.377+03:00,"['2020-12-08', '11:24:45+03:00']","['2020-12-17', '09:00:00+03:00']",Электронный аукцион,0105072228,3170754.5,01.13,"Овощи и культуры бахчевые, корнеплоды и клубнеплоды",Поставка овощей,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0176200005520001774
13,44,0176300004020000007,2020-12-08T19:43:07.385+03:00,"['2020-12-01', '16:30:08+03:00']","['2020-12-16', '10:00:00+03:00']",Электронный аукцион,0101005774,546000,68.10,Услуги по покупке и продаже собственного недвижимого имущества,,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0176300004020000007
14,44,,2020-12-01T22:01:50.316+03:00,,,,,,,,,
15,44,0176300002120000022,2020-12-03T16:57:17.343+03:00,"['2020-12-03', '16:57:17+03:00']","['2020-12-11', '09:00:00+03:00']",Электронный аукцион,0106006387,1328700,68.10,Услуги по покупке и продаже собственного недвижимого имущества,,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0176300002120000022
16,44,0176200005520001884,2020-12-15T12:27:58.505+03:00,"['2020-12-15', '12:27:58+03:00']","['2020-12-23', '09:00:00+03:00']",Электронный аукцион,0105072228,105760,33.14,Услуги по ремонту электрического оборудования,Оказание услуг по техническому обслуживанию систем видеонаблюдения для ГБУЗ РА «Кошехабльская центральная районная больница»,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0176200005520001884
17,44,,2020-12-02T09:09:32.427+03:00,,,,,,,,,
18,44,0176200005520001822,2020-12-10T10:26:22.356+03:00,"['2020-12-10', '10:26:22+03:00']","['2020-12-18', '09:00:00+03:00']",Электронный аукцион,0105072228,630765,10.12,"Мясо сельскохозяйственной птицы и прочие продукты убоя, включая консервированные",Поставка продуктов питания (тушки цыплят-бройлеров),https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0176200005520001822
19,44,0176200005520001879,2020-12-18T16:47:00.378+03:00,"['2020-12-15', '12:12:31+03:00']","['2020-12-28', '09:00:00+03:00']",Электронный аукцион,0105072228,101079,19.20,Нефтепродукты,Бензин автомобильный АИ-92 Экологического класса не ниже К5 и Топливо дизельное межсезонное экологического класса не ниже К5,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0176200005520001879
20,44,0176100004420000050,2020-12-05T13:21:41.332+03:00,"['2020-12-05', '13:21:41+03:00']","['2020-12-14', '10:00:00+03:00']",Электронный аукцион,0105043700,71400,61.10,Услуги телекоммуникационные проводные,,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0176100004420000050
21,44,0376300005320000032,2020-12-04T14:09:40.547+03:00,"['2020-12-04', '13:37:49+03:00']","['2020-12-14', '08:00:00+03:00']",Электронный аукцион,0107007270,291380.72,10.20,"Рыба переработанная и консервированная, ракообразные и моллюски",,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0376300005320000032
22,44,0176200005520001735,2020-12-03T16:33:11.568+03:00,"['2020-12-03', '16:33:11+03:00']","['2020-12-14', '09:00:00+03:00']",Электронный аукцион,0105072228,1320397.4,10.51,Молоко и молочная продукция,,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0176200005520001735
23,44,0176200005520001720,2020-12-02T17:39:12.785+03:00,"['2020-12-02', '17:39:12+03:00']","['2020-12-10', '09:00:00+03:00']",Электронный аукцион,0105072228,3095279.01,,,,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0176200005520001720
24,44,0176200005520001850,2020-12-11T11:38:00.354+03:00,"['2020-12-11', '11:38:00+03:00']","['2020-12-21', '09:00:00+03:00']",Электронный аукцион,0105072228,449986,19.20,Нефтепродукты,,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0176200005520001850
25,44,0176300004720000079,2020-12-15T16:09:06.741+03:00,"['2020-12-15', '16:09:06+03:00']","['2020-12-23', '09:15:00+03:00']",Электронный аукцион,0103007791,1464760,,,В соответствии с Разделом 3. «Техническое задание»,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0176300004720000079
26,44,0176200005520001841,2020-12-11T10:00:08.534+03:00,"['2020-12-11', '10:00:08+03:00']","['2020-12-21', '09:00:00+03:00']",Электронный аукцион,0105072228,270096,21.20,"Препараты лекарственные и материалы, применяемые в медицинских целях",,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0176200005520001841
27,44,0176200005520001756,2020-12-07T11:48:07.399+03:00,"['2020-12-07', '11:48:07+03:00']","['2020-12-15', '09:00:00+03:00']",Электронный аукцион,0105072228,1822100,32.50,Инструменты и оборудование медицинские,,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0176200005520001756
28,44,0176300004720000082,2020-12-15T17:18:34.739+03:00,"['2020-12-15', '17:18:34+03:00']","['2020-12-23', '10:00:00+03:00']",Электронный аукцион,0103007791,175213,,,,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0176300004720000082
29,44,0176200005520001857,2020-12-14T09:40:26.486+03:00,"['2020-12-14', '09:40:26+03:00']","['2020-12-22', '09:00:00+03:00']",Электронный аукцион,0105072228,238710.94,01.13,"Овощи и культуры бахчевые, корнеплоды и клубнеплоды",в соответствии с частью IV «Техническая часть документации об электронном аукционе»,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0176200005520001857
30,44,0176200005520001817,2020-12-10T09:08:24.394+03:00,"['2020-12-10', '09:08:24+03:00']","['2020-12-18', '09:00:00+03:00']",Электронный аукцион,0105072228,197280,81.21,Услуги по общей уборке зданий,Оказание услуг по уборке служебных помещений административного здания и прилегающей территории Филиала ГКУ Республики Адыгея «АРЦЗН» в Кошехабльском районе,https://zakupki.gov.ru/epz/order/notice/ea44/view/common-info.html?regNumber=0176200005520001817
31,44,,2020-12-16T14:09:32.308+03:00,,,,,,,,,
